 # t(s)  r(m)  phi(rad)  dr/dt(m/s)  dphi/dt(rad/s)
   0.0000000000000000        237637148096743.66        0.0000000000000000        0.0000000000000000        9.4551201903462275E-004
  0.10000000149011612        237637149158973.41        9.4551203030624590E-005   21244594.395685926        9.4551201058181149E-004
  0.20000000298023224        237637152345662.59        1.8910240437068697E-004   42489188.221596301        9.4551198522337869E-004
  0.30000000447034836        237637157656811.16        2.8365360232962501E-004   63733780.907955661        9.4551194295932706E-004
  0.40000000596046448        237637165092418.94        3.7820479521687703E-004   84978371.884988695        9.4551188378966115E-004
  0.50000000745058060        237637174652485.72        4.7275598134188194E-004   106222960.58292031        9.4551180771438724E-004
  0.60000000894069672        237637186337011.28        5.6730715901407922E-004   127467546.43197571        9.4551171473351359E-004
  0.70000001043081284        237637200145995.28        6.6185832654290944E-004   148712128.86238050        9.4551160484705006E-004
  0.80000001192092896        237637216079437.38        7.5640948223781412E-004   169956707.30436075        9.4551147805500846E-004
  0.90000001341104507        237637234137337.09        8.5096062440823605E-004   191201281.18814304        9.4551133435740245E-004
   1.0000000149011612        237637254319694.00        9.4551175136361955E-004   212445849.94395459        9.4551117375424743E-004
   1.1000000163912773        237637276626507.53        1.0400628614134107E-003   233690413.00202325        9.4551099624556065E-004
   1.2000000178813934        237637301057777.09        1.1346139528670570E-003   254934969.79257771        9.4551080183136107E-004
   1.3000000193715096        237637327613502.03        1.2291650240340082E-003   276179519.74584746        9.4551059051166961E-004
   1.4000000208616257        237637356293681.62        1.3237160732237163E-003   297424062.29206294        9.4551036228650894E-004
   1.5000000223517418        237637387098315.12        1.4182670987456355E-003   318668596.86145550        9.4551011715590357E-004
   1.6000000238418579        237637420027401.69        1.5128180989092228E-003   339913122.88425767        9.4550985511987972E-004
   1.7000000253319740        237637455080940.44        1.6073690720239374E-003   361157639.79070306        9.4550957617846559E-004
   1.8000000268220901        237637492258930.41        1.7019200163992420E-003   382402147.01102644        9.4550928033169110E-004
   1.9000000283122063        237637531561370.62        1.7964709303446020E-003   403646643.97546405        9.4550896757958792E-004
   2.0000000298023224        237637572988260.03        1.8910218121694861E-003   424891130.11425334        9.4550863792218964E-004
   2.1000000312924385        237637616539597.53        1.9855726601833664E-003   446135604.85763335        9.4550829135953162E-004
   2.2000000327825546        237637662215381.94        2.0801234726957191E-003   467380067.63584453        9.4550792789165105E-004
   2.3000000342726707        237637710015612.03        2.1746742480160237E-003   488624517.87912899        9.4550754751858684E-004
   2.4000000357627869        237637759940286.53        2.2692249844537635E-003   509868955.01773053        9.4550715024037987E-004
   2.5000000372529030        237637811989404.09        2.3637756803184268E-003   531113378.48189467        9.4550673605707275E-004
   2.6000000387430191        237637866162963.34        2.4583263339195056E-003   552357787.70186877        9.4550630496870994E-004
   2.7000000402331352        237637922460962.81        2.5528769435664966E-003   573602182.10790217        9.4550585697533761E-004
   2.8000000417232513        237637980883400.97        2.6474275075689013E-003   594846561.13024616        9.4550539207700391E-004
   2.9000000432133675        237638041430276.28        2.7419780242362258E-003   616090924.19915402        9.4550491027375861E-004
   3.0000000447034836        237638104101587.09        2.8365284918779820E-003   637335270.74488115        9.4550441156565353E-004
   3.1000000461935997        237638168897331.75        2.9310789088036861E-003   658579600.19768536        9.4550389595274200E-004
   3.2000000476837158        237638235817508.50        3.0256292733228602E-003   679823911.98782659        9.4550336343507944E-004
   3.3000000491738319        237638304862115.56        3.1201795837450317E-003   701068205.54556715        9.4550281401272298E-004
   3.4000000506639481        237638376031151.06        3.2147298383797349E-003   722312480.30117190        9.4550224768573160E-004
   3.5000000521540642        237638449324613.12        3.3092800355365086E-003   743556735.68490815        9.4550166445416602E-004
   3.6000000536441803        237638524742499.75        3.4038301735248989E-003   764800971.12704575        9.4550106431808868E-004
   3.7000000551342964        237638602284808.94        3.4983802506544574E-003   786045186.05785739        9.4550044727756410E-004
   3.8000000566244125        237638681951538.59        3.5929302652347433E-003   807289379.90761828        9.4549981333265842E-004
   3.9000000581145287        237638763742686.59        3.6874802155753214E-003   828533552.10660672        9.4549916248343972E-004
   4.0000000596046448        237638847658250.75        3.7820300999857636E-003   849777702.08510363        9.4549849472997771E-004
   4.1000000610947609        237638933698228.78        3.8765799167756495E-003   871021829.27339315        9.4549781007234406E-004
   4.2000000625848770        237639021862618.41        3.9711296642545657E-003   892265933.10176241        9.4549710851061228E-004
   4.3000000640749931        237639112151417.25        4.0656793407321057E-003   913510013.00050163        9.4549639004485762E-004
   4.4000000655651093        237639204564622.91        4.1602289445178712E-003   934754068.39990425        9.4549565467515705E-004
   4.5000000670552254        237639299102232.88        4.2547784739214714E-003   955998098.73026693        9.4549490240158950E-004
   4.6000000685453415        237639395764244.62        4.3493279272525239E-003   977242103.42188978        9.4549413322423575E-004
   4.7000000700354576        237639494550655.59        4.4438773028206537E-003   998486081.90507638        9.4549334714317829E-004
   4.8000000715255737        237639595461463.09        4.5384265989354949E-003   1019730033.6101338        9.4549254415850139E-004
   4.9000000730156898        237639698496664.44        4.6329758139066896E-003   1040973957.9673725        9.4549172427029122E-004
   5.0000000745058060        237639803656256.84        4.7275249460438894E-003   1062217854.4071071        9.4549088747863572E-004
   5.1000000759959221        237639910940237.53        4.8220739936567537E-003   1083461722.3596554        9.4549003378362466E-004
   5.2000000774860382        237640020348603.59        4.9166229550549516E-003   1104705561.2553394        9.4548916318534955E-004
   5.3000000789761543        237640131881352.09        5.0111718285481615E-003   1125949370.5244846        9.4548827568390384E-004
